ＥＤＩＮＥＴコード,提出者名,提出者業種,提出者法人番号
E00882,新日本理化株式会社,化学,5130001014766
E00883,花王株式会社,化学,4010001034760
E00884,三洋化成工業株式会社,化学,3130001009314
E00885,第一工業製薬株式会社,化学,7130001017809
E00886,東邦化学工業株式会社,化学,5010001034850
E00887,日華化学株式会社,化学,1210001002667
E00888,松本油脂製薬株式会社,化学,7122001020132
E00890,株式会社ニイタカ,化学,9120001056079
E00891,大日本塗料株式会社,化学,1120001026551
E00892,日本ペイントホールディングス株式会社,化学,7120001072994
E00893,関西ペイント株式会社,化学,5140001048243
E00895,神東塗料株式会社,化学,7140001049181
E00896,川上塗料株式会社,化学,4140001048351
E00897,中国塗料株式会社,化学,1240001028478
E00898,日本パーカライジング株式会社,化学,1010001034994
E00899,株式会社日本ピグメントホールディングス,化学,4010001008839
E00900,日本特殊塗料株式会社,化学,1011501003539
E00901,ＤＩＣ株式会社,化学,7011401003807
E00902,大日精化工業株式会社,化学,4010001034868
E00903,ａｒｔｉｅｎｃｅ株式会社,化学,3010001034844
E00904,東京インキ株式会社,化学,8011501003045
E00905,サカタインクス株式会社,化学,2120001043471
E00906,スガイ化学工業株式会社,化学,4170001001687
E00909,株式会社アサヒペン,化学,4120001001403
E00910,イサム塗料株式会社,化学,8120001034242
E00911,アトミクス株式会社,化学,5011401000351
E00912,菊水化学工業株式会社,その他製品,9180001029938
E00913,太陽ホールディングス株式会社,化学,3011601003833
E00915,ナトコ株式会社,化学,1180301019737
E00916,エスケー化研株式会社,化学,5120901000305
E00917,大伸化学株式会社,化学,6010401016497
E00919,武田薬品工業株式会社,医薬品,2120001077461
E00920,アステラス製薬株式会社,医薬品,5010001034966
E00922,住友ファーマ株式会社,医薬品,3120001077477
E00923,塩野義製薬株式会社,医薬品,9120001077430
E00926,株式会社テーオーシー,不動産業,1010701006145
E00928,わかもと製薬株式会社,医薬品,1010001035010
E00931,日本新薬株式会社,医薬品,2130001012236
